ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Manage stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight,Length,Width,Height,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,,,
1,grouped,SUZUKI-MATS-GROUP,,Suzuki Scooter Mats Collection,1,0,visible,Mats for Suzuki Scooters.,A collection of high-quality scooter mats designed for various Suzuki scooter models. Find the perfect fit for your Suzuki scooter.,,,taxable,,taxable,,1,0,0,,,0,,1,,,90,1,,,http://localhost/pittappillil-enterprises/wp-content/uploads/2025/03/product-01.jpg,"Scooter Mats, Brands > SUZUKI","Suzuki, Scooter Mats, Collection",,https://placehold.co/600x400/EAEAEA/333333?text=Suzuki_Mats_Collection,,,,,"SM-SUZ-ACC125,SM-SUZ-ACCESS,SM-SUZ-AVENIS,SM-SUZ-BURGMAN,SM-SUZ-LETS,SM-SUZ-ACCESSNEW",,,
2,simple,SM-SUZ-ACC125,,Mat for Suzuki Access 125,1,0,visible,Mat for Suzuki Access 125.,Custom-fit scooter mat for Suzuki Access 125. Durable and stylish.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Indoor Plants,,,Brands > SUZUKI,"Access 125, Suzuki Mat",,https://placehold.co/600x400/DDD/31343C?text=Suzuki_Access125_Mat,,,,,,,,,
3,simple,SM-SUZ-ACCESS,,Mat for Suzuki Access (Old Model),1,0,visible,Mat for Suzuki Access (Old).,Custom-fit scooter mat for the classic Suzuki Access model.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Indoor Plants,,,Brands > SUZUKI,"Access, Suzuki Mat",,https://placehold.co/600x400/DCDCDC/31343C?text=Suzuki_Access_Mat,,,,,,,,,
4,simple,SM-SUZ-AVENIS,,Mat for Suzuki Avenis,1,0,visible,Mat for Suzuki Avenis.,Premium scooter mat for Suzuki Avenis. Perfect fit and protection.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Indoor Plants,,,Brands > SUZUKI,"Avenis, Suzuki Mat",,https://placehold.co/600x400/DADADA/31343C?text=Suzuki_Avenis_Mat,,,,,,,,,
5,simple,SM-SUZ-BURGMAN,,Mat for Suzuki Burgman,1,0,visible,Mat for Suzuki Burgman.,High-quality mat for the Suzuki Burgman series. Enhances comfort and style.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Indoor Plants,,,Brands > SUZUKI,"Burgman, Suzuki Mat",,https://placehold.co/600x400/D8D8D8/31343C?text=Suzuki_Burgman_Mat,,,,,,,,,
6,simple,SM-SUZ-LETS,,Mat for Suzuki Lets,1,0,visible,Mat for Suzuki Lets.,Durable and easy-to-clean mat for Suzuki Lets.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Indoor Plants,,,Brands > SUZUKI,"Lets, Suzuki Mat",,https://placehold.co/600x400/D6D6D6/31343C?text=Suzuki_Lets_Mat,,,,,,,,,
7,simple,SM-SUZ-ACCESSNEW,,Mat for Suzuki Access New,1,0,visible,Mat for Suzuki Access New.,Custom-designed mat for the new Suzuki Access model.,,,taxable,,taxable,,1,0,0,,,0,0.7,1,,,1,Uncategorized,,,Brands > SUZUKI,"Access New, Suzuki Mat",,https://placehold.co/600x400/D4D4D4/31343C?text=Suzuki_AccessNew_Mat,"id:154, id:158",,,,,,,,
8,grouped,MAHINDRA-MATS-GROUP,,Mahindra Scooter Mats Collection,1,0,visible,Mats for Mahindra Scooters.,A collection of high-quality scooter mats designed for various Mahindra scooter models. Find the perfect fit for your Mahindra scooter.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > MAHINDRA","Mahindra, Scooter Mats, Collection",,https://placehold.co/600x400/E0E0E0/333333?text=Mahindra_Mats_Collection,,,,SM-MAH-GUSTO,,,,
9,simple,SM-MAH-GUSTO,,Mat for Mahindra Gusto,1,0,visible,Mat for Mahindra Gusto.,Custom-fit scooter mat for Mahindra Gusto. Durable and reliable.,,,,,taxable,,1,,0,,,0,0.75,,,,1,,,,Brands > MAHINDRA,"Gusto, Mahindra Mat",,https://placehold.co/600x400/D0D0D0/31343C?text=Mahindra_Gusto_Mat,,,,,,,,,
10,grouped,YAMAHA-MATS-GROUP,,Yamaha Scooter Mats Collection,1,0,visible,Mats for Yamaha Scooters.,Discover our range of scooter mats for Yamaha models. Premium quality and perfect fit.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > YAMAHA","Yamaha, Scooter Mats, Collection",,https://placehold.co/600x400/DDEEFF/333333?text=Yamaha_Mats_Collection,,,,,"SM-YAM-ALPHA,SM-YAM-RAYZRBS6,SM-YAM-FAS125,SM-YAM-FASCINO,SM-YAM-RAYZ,SM-YAM-RAYZR",,,
